O,C,E,A,N,Cluster
35.0,27.0,24.0,30.0,17.0,Education & Social Work
28.0,28.0,31.0,34.0,18.0,Suitable for any job
35.0,28.0,35.0,34.0,27.0,Education & Social Work
25.0,28.0,31.0,30.0,30.0,Suitable for any job
18.0,27.0,23.0,23.0,31.0,Routine & Practical Jobs
31.0,25.0,34.0,31.0,35.0,Education & Social Work
29.0,35.0,28.0,32.0,22.0,Suitable for any job
18.0,24.0,24.0,23.0,20.0,Routine & Practical Jobs
27.0,30.0,26.0,32.0,23.0,Suitable for any job
37.0,28.0,31.0,32.0,25.0,Education & Social Work
25.0,28.0,32.0,31.0,28.0,Suitable for any job
29.0,28.0,30.0,33.0,23.0,Suitable for any job
42.0,31.0,22.0,36.0,41.0,Education & Social Work
40.0,35.0,28.0,31.0,37.0,Education & Social Work
35.0,24.0,33.0,33.0,27.0,Education & Social Work
